id,game,year,genre,publisher,North America,europe,japan,Rest of World,global
789,Contrast,2013,Misc,Compulsion Games,0.00,0.00,0.00,0.00,0.00
791,Carmageddon: Reincarnation,2015,Misc,Stainless Games,0.00,0.00,0.00,0.00,0.00
792,Rocketbirds 2: Evolution,2020,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
793,Primal Carnage: Genesis,2020,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
804,Kingdom Hearts III,2019,Role-Playing,Square Enix,0.00,0.00,0.00,0.00,0.00
810,Yaiba: Ninja Gaiden Z,2014,Misc,Tecmo Koei,0.00,0.00,0.00,0.00,0.00
817,Pinball Arcade,2013,Misc,FarSight Studios,0.00,0.00,0.00,0.00,0.00
818,Toukiden: The Age of Demons,2014,Action,Tecmo Koei,0.00,0.00,0.00,0.00,0.00
819,Reus,2016,Strategy,Soedesco,0.00,0.00,0.00,0.00,0.00
820,Strider (2014),2014,Platform,Capcom,0.00,0.00,0.00,0.00,0.00
822,EverQuest Next,2019,MMO,Sony Online Entertainment,0.00,0.00,0.00,0.00,0.00
835,Velocity 2X,2014,Action,Futurlab 1,0.00,0.00,0.00,0.00,0.00
836,Helldivers,2015,Action,Sony Computer Entertainment,0.00,0.00,0.00,0.00,0.00
842,WonderFlick,2014,Misc,Level 5,0.00,0.00,0.00,0.00,0.00
843,Monochroma,2014,Misc,Nowhere Studios,0.00,0.00,0.00,0.00,0.00
848,Lily Bergamo,2014,Misc,GungHo,0.00,0.00,0.00,0.00,0.00
858,Get Even,2015,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
866,TowerFall,2014,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
872,SOMA (2015),2015,Misc,Frictional Games,0.00,0.00,0.00,0.00,0.00
873,Cult County,2015,Misc,Renegade Kid,0.00,0.00,0.00,0.00,0.00
875,R.B.I. Baseball 14,2014,Misc,MLB.com,0.00,0.00,0.00,0.00,0.00
878,Blue Estate�,2014,Misc,Focus Home Interactive,0.00,0.00,0.00,0.00,0.00
892,Pure Pool�,2014,Misc,Triniti Interactive,0.00,0.00,0.00,0.00,0.00
893,Without Memory,2016,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
897,Bombshell,2014,Misc,3D Realms,0.00,0.00,0.00,0.00,0.00
899,The Forest,2015,Action,Endnight Games Ltd�,0.00,0.00,0.00,0.00,0.00
905,Falling Skies: The Game�,2015,Role-Playing,Little Orbit,0.00,0.00,0.00,0.00,0.00
909,EA Sports PGA Tour,2015,Sports,EA Sports,0.00,0.00,0.00,0.00,0.00
910,Dead Island 2,2017,Action,Deep Silver,0.00,0.00,0.00,0.00,0.00
917,Tetris Ultimate�,2014,Puzzle,Ubisoft,0.00,0.00,0.00,0.00,0.00
918,Afro Samurai 2,2015,Action,Versus Evil,0.00,0.00,0.00,0.00,0.00
919,The Legend of Korra (2014),2014,Action,Activision,0.00,0.00,0.00,0.00,0.00
920,The Vanishing of Ethan Carter�,2015,Adventure,The Astronauts,0.00,0.00,0.00,0.00,0.00
921,Godzilla (2014),2014,Action,Namco Bandai Games,0.00,0.00,0.00,0.00,0.00
922,Gran Turismo 7,2020,Racing,Sony Computer Entertainment,0.00,0.00,0.00,0.00,0.00
934,Wild,2019,Adventure,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
944,Tadeo Jones y el manuscrito perdido,2014,Adventure,Deep Silver,0.00,0.00,0.00,0.00,0.00
946,OlliOlli 2: Welcome to Olliwood,2016,Sports,PQube,0.00,0.00,0.00,0.00,0.00
947,Pathologic,2015,Adventure,Ice-pick Lodge,0.00,0.00,0.00,0.00,0.00
949,Rebel Galaxy,2015,Role-Playing,Double Damage Games,0.00,0.00,0.00,0.00,0.00
953,Assassin's Creed: Victory,2015,Action,Ubisoft,0.00,0.00,0.00,0.00,0.00
954,Silent Hills,2020,Action,Konami Digital Entertainment,0.00,0.00,0.00,0.00,0.00
974,Overlord: Fellowship of Evil,2015,Action,Codemasters,0.00,0.00,0.00,0.00,0.00
975,R.B.I. Baseball 15,2015,Sports,MLB.com,0.00,0.00,0.00,0.00,0.00
977,Wander,2015,Role-Playing,Wander MMO,0.00,0.00,0.00,0.00,0.00
982,Final Fantasy VII Remake,2019,Role-Playing,Square Enix,0.00,0.00,0.00,0.00,0.00
983,Ikenie to Yuki no Setsuna,2016,Role-Playing,Square Enix,0.00,0.00,0.00,0.00,0.00
984,Atelier Sophie,2020,Role-Playing,Gust,0.00,0.00,0.00,0.00,0.00
985,Dengeki Bunko: Fighting Climax Ignition,2015,Action,Sega,0.00,0.00,0.00,0.00,0.00
986,World Soccer Winning Eleven 2015,2015,Action,Konami Digital Entertainment,0.00,0.00,0.00,0.00,0.00
988,Cross Reverie,2017,Role-Playing,Sinxsoft,0.00,0.00,0.00,0.00,0.00
989,Airship Q,2019,Platform,Cygames,0.00,0.00,0.00,0.00,0.00
990,Killing Bites,2016,Action,Unknown,0.00,0.00,0.00,0.00,0.00
992,Tiny Troopers Joint Ops,2014,Action,Unknown,0.00,0.00,0.00,0.00,0.00
993,The London Heist,2016,Shooter,Sony Computer Entertainment,0.00,0.00,0.00,0.00,0.00
994,Risen 3 Enhanced Edition,2015,Role-Playing,Deep Silver,0.00,0.00,0.00,0.00,0.00
995,Air Conflicts: Pacific Carriers,2015,Simulation,Kalypso Media,0.00,0.00,0.00,0.00,0.00
996,God Wars: Beyond Time,2016,Role-Playing,Kadokawa Games,0.00,0.00,0.00,0.00,0.00
997,Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.00,0.00,0.00,0.00,0.00
998,Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0.00,0.00,0.00,0.00,0.00
999,Alekhine's Gun,2016,Action,Maximum Games,0.00,0.00,0.00,0.00,0.00
1000,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0.00,0.00,0.00,0.00,0.00
1005,Bloodborne: Complete Edition,2015,Role-Playing,Sony Computer Entertainment,0.00,0.00,0.00,0.00,0.00
1009,World to the West,2017,Action-Adventure,Soedesco,0.00,0.00,0.00,0.00,0.00
1014,Days Gone,2019,Action-Adventure,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
1015,Berserk Musou,2016,Action,Tecmo Koei,0.00,0.00,0.00,0.00,0.00
1016,Ginger: Beyond the Crystal,2016,Platform,PQube,0.00,0.00,0.00,0.00,0.00
1017,The Last of Us: Part II,2019,Action,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
1018,Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0.00,0.00,0.00,0.00,0.00
1019,Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0.00,0.00,0.00,0.00,0.00
1021,Metro Exodus,2019,Shooter,Deep Silver,0.00,0.00,0.00,0.00,0.00
1022,Anthem,2019,Role-Playing,Electronic Arts,0.00,0.00,0.00,0.00,0.00
1023,Moons Of Madness,2017,Role-Playing,Unknown,0.00,0.00,0.00,0.00,0.00
1024,Iron Harvest,2018,Strategy,Unknown,0.00,0.00,0.00,0.00,0.00
1025,Biomutant,2018,Action,THQ Nordic,0.00,0.00,0.00,0.00,0.00
1026,Biomutant,2019,Action,THQ Nordic,0.00,0.00,0.00,0.00,0.00
1027,de Blob,2017,Platform,THQ Nordic,0.00,0.00,0.00,0.00,0.00
1028,Chaos on Deponia,2017,Adventure,Daedalic Entertainment,0.00,0.00,0.00,0.00,0.00
1029,Code Vein,2018,Action,Bandai Namco Entertainment,0.00,0.00,0.00,0.00,0.00
1031,Radial G Racing Revolved,2017,Racing,Tammeka Games,0.00,0.00,0.00,0.00,0.00
